date,state,county,locality,habitat,latitude,longitude,masl,subfamily,ant.genus,ant.species,code,collection,collector
1/1/1900,maine,oxford,bethel,NA,NA,NA,NA,Formicinae,Camponotus,novaeboracensis,camnov,Wheeler ; Ants of NE,edwards
1/1/1900,massachusetts,essex,danvers,NA,NA,NA,NA,Myrmicinae,Aphaenogaster,fulva,aphful,Wheeler ; Ants of NE,emerton
1/1/1900,massachusetts,essex,ipswich,NA,NA,NA,NA,Formicinae,Lasius,neoniger,lasneo,Wheeler ; Ants of NE,emerton
1/1/1900,massachusetts,barnstable,woods hole,NA,NA,NA,NA,Myrmicinae,Aphaenogaster,rudis complex,aphNA,Wheeler ; Ants of NE,fielde
1/1/1900,massachusetts,barnstable,woods hole,NA,NA,NA,NA,Myrmicinae,Aphaenogaster,picea,aphpic,Wheeler ; Ants of NE,fielde
1/1/1900,massachusetts,middlesex,middlesex fells,NA,NA,NA,NA,Formicinae,Camponotus,americanus,camame,Wheeler ; Ants of NE,fielde
1/1/1900,massachusetts,barnstable,woods hole,NA,NA,NA,NA,Formicinae,Camponotus,pennsylvanicus,campen,Wheeler ; Ants of NE,fielde
1/1/1900,massachusetts,barnstable,woods hole,NA,NA,NA,NA,Myrmicinae,Crematogaster,lineolata,crelin,Wheeler ; Ants of NE,fielde
1/1/1900,massachusetts,barnstable,woods hole,NA,NA,NA,NA,Formicinae,Formica,argentea,forarg,Wheeler ; Ants of NE,fielde
1/1/1900,massachusetts,barnstable,woods hole,NA,NA,NA,NA,Formicinae,Formica,lasioides,forlas,Wheeler ; Ants of NE,fielde
1/1/1900,massachusetts,barnstable,woods hole,NA,NA,NA,NA,Formicinae,Formica,subsericea,forsub3,Wheeler ; Ants of NE,fielde
1/1/1900,massachusetts,barnstable,woods hole,NA,NA,NA,NA,Formicinae,Lasius,latipes,laslat,Wheeler ; Ants of NE,fielde
1/1/1900,massachusetts,barnstable,woods hole,NA,NA,NA,NA,Formicinae,Lasius,nearcticus,lasnea,Wheeler ; Ants of NE,fielde
1/1/1900,massachusetts,barnstable,woods hole,NA,NA,NA,NA,Myrmicinae,Monomorium,emarginatum,monema,Wheeler ; Ants of NE,fielde
1/1/1900,connecticut,middlesex,cromwell,NA,NA,NA,NA,Formicinae,Formica,exsectoides,forexs,Wheeler ; Ants of CT,Forel
1/1/1900,connecticut,hartford,hartford,NA,NA,NA,NA,Formicinae,Formica,exsectoides,forexs,Wheeler ; Ants of CT,Forel
1/1/1900,connecticut,middlesex,cromwell,NA,NA,NA,NA,Formicinae,Formica,subsericea,forsub3,Wheeler ; Ants of CT,Forel
1/1/1900,connecticut,hartford,hartford,NA,NA,NA,NA,Formicinae,Formica,subsericea,forsub3,Wheeler ; Ants of CT,Forel
1/1/1900,massachusetts,suffolk,boston,NA,NA,NA,NA,Myrmicinae,Strumigenys,pergandei,strper,Wheeler ; Ants of NE,forel
1/1/1900,maine,hancock,mt desert,NA,NA,NA,NA,Myrmicinae,Myrmica,americana,myrame2,Wheeler ; Ants of NE,hagen
1/1/1900,maine,piscataquis,mt katahdin,NA,NA,NA,NA,Formicinae,Camponotus,pennsylvanicus,campen,Wheeler ; Ants of NE,hamlin
1/1/1900,massachusetts,middlesex,cambridge,NA,NA,NA,NA,Formicinae,Camponotus,nearcticus,camnea,Wheeler ; Ants of NE,jack
1/1/1900,new hampshire,rockingham,canobie lake,NA,NA,NA,NA,Myrmicinae,Aphaenogaster,fulva,aphful,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,mt tom,NA,NA,NA,NA,Myrmicinae,Aphaenogaster,fulva,aphful,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,springfield,NA,NA,NA,NA,Myrmicinae,Aphaenogaster,fulva,aphful,Wheeler ; Ants of NE,king
1/1/1900,new hampshire,carroll,w ossippee,NA,NA,NA,NA,Myrmicinae,Aphaenogaster,fulva,aphful,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Myrmicinae,Aphaenogaster,tennesseensis,aphten,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,mt tom,NA,NA,NA,NA,Myrmicinae,Aphaenogaster,tennesseensis,aphten,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Formicinae,Brachymyrmex,depilis,bradep,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Formicinae,Camponotus,americanus,camame,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,mt tom,NA,NA,NA,NA,Formicinae,Camponotus,americanus,camame,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Formicinae,Camponotus,nearcticus,camnea,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,springfield,NA,NA,NA,NA,Formicinae,Camponotus,nearcticus,camnea,Wheeler ; Ants of NE,king
1/1/1900,new hampshire,rockingham,canobie lake,NA,NA,NA,NA,Formicinae,Camponotus,novaeboracensis,camnov,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Formicinae,Camponotus,novaeboracensis,camnov,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,mt tom,NA,NA,NA,NA,Formicinae,Camponotus,novaeboracensis,camnov,Wheeler ; Ants of NE,king
1/1/1900,new hampshire,rockingham,canobie lake,NA,NA,NA,NA,Formicinae,Camponotus,pennsylvanicus,campen,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Formicinae,Camponotus,pennsylvanicus,campen,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,springfield,NA,NA,NA,NA,Formicinae,Camponotus,pennsylvanicus,campen,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampshire,belchertown,NA,NA,NA,NA,Myrmicinae,Crematogaster,lineolata,crelin,Wheeler ; Ants of NE,king
1/1/1900,new hampshire,rockingham,canobie lake,NA,NA,NA,NA,Myrmicinae,Crematogaster,lineolata,crelin,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,mt tom,NA,NA,NA,NA,Myrmicinae,Crematogaster,lineolata,crelin,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,springfield,NA,NA,NA,NA,Myrmicinae,Crematogaster,lineolata,crelin,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,w springfield,NA,NA,NA,NA,Myrmicinae,Crematogaster,lineolata,crelin,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,mt tom,NA,NA,NA,NA,Formicinae,Formica,dolosa,fordol,Wheeler ; Ants of NE,king
1/1/1900,new hampshire,rockingham,canobie lake,NA,NA,NA,NA,Formicinae,Formica,exsectoides,forexs,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Formicinae,Formica,exsectoides,forexs,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,mt tom,NA,NA,NA,NA,Formicinae,Formica,exsectoides,forexs,Wheeler ; Ants of NE,king
1/1/1900,new hampshire,rockingham,canobie lake,NA,NA,NA,NA,Formicinae,Formica,integra,forint,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Formicinae,Formica,integra,forint,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,springfield,NA,NA,NA,NA,Formicinae,Formica,integra,forint,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Formicinae,Formica,lasioides,forlas,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Formicinae,Formica,neogagates,forneo1,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Formicinae,Formica,pallidefulva,forpal,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Formicinae,Formica,pallidefulva,forpal,Wheeler ; Ants of NE,king
1/1/1900,new hampshire,rockingham,canobie lake,NA,NA,NA,NA,Formicinae,Formica,rubicunda,forrub,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Formicinae,Formica,rubicunda,forrub,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,holyoke,NA,NA,NA,NA,Formicinae,Formica,rubicunda,forrub,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,springfield,NA,NA,NA,NA,Formicinae,Formica,rubicunda,forrub,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Formicinae,Formica,subaenescens,forsub1,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Formicinae,Formica,subintegra,forsub2,Wheeler ; Ants of NE,king
1/1/1900,new hampshire,rockingham,canobie lake,NA,NA,NA,NA,Formicinae,Formica,subsericea,forsub3,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Formicinae,Formica,subsericea,forsub3,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,mt tom,NA,NA,NA,NA,Formicinae,Formica,subsericea,forsub3,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,springfield,NA,NA,NA,NA,Formicinae,Formica,subsericea,forsub3,Wheeler ; Ants of NE,king
1/1/1900,new hampshire,carroll,w ossippee,NA,NA,NA,NA,Formicinae,Formica,subsericea,forsub3,Wheeler ; Ants of NE,king
1/1/1900,new hampshire,rockingham,canobie lake,NA,NA,NA,NA,Formicinae,Lasius,americanus,lasame,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,mt tom,NA,NA,NA,NA,Formicinae,Lasius,americanus,lasame,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,springfield,NA,NA,NA,NA,Formicinae,Lasius,americanus,lasame,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Formicinae,Lasius,brevicornis,lasbre,Wheeler ; Ants of NE,king
1/1/1900,new hampshire,rockingham,canobie lake,NA,NA,NA,NA,Formicinae,Lasius,claviger,lascla,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,mt tom,NA,NA,NA,NA,Formicinae,Lasius,claviger,lascla,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,springfield,NA,NA,NA,NA,Formicinae,Lasius,claviger,lascla,Wheeler ; Ants of NE,king
1/1/1900,new hampshire,rockingham,canobie lake,NA,NA,NA,NA,Formicinae,Lasius,nearcticus,lasnea,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,mt tom,NA,NA,NA,NA,Formicinae,Lasius,nearcticus,lasnea,Wheeler ; Ants of NE,king
1/1/1900,new hampshire,carroll,w ossippee,NA,NA,NA,NA,Formicinae,Lasius,nearcticus,lasnea,Wheeler ; Ants of NE,king
1/1/1900,new hampshire,rockingham,canobie lake,NA,NA,NA,NA,Formicinae,Lasius,neoniger,lasneo,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,w springfield,NA,NA,NA,NA,Formicinae,Lasius,neoniger,lasneo,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Myrmicinae,Myrmica,americana,myrame2,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Myrmicinae,Myrmica,americana,myrame2,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Myrmicinae,Myrmica,incompleta,myrinc,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Myrmicinae,Pheidole,pilifera,phepil,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,mt tom,NA,NA,NA,NA,Ponerinae,Ponera,pennsylvanica,ponpen,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Formicinae,Prenolepis,imparis,preimp,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,hampden,springfield,NA,NA,NA,NA,Formicinae,Prenolepis,imparis,preimp,Wheeler ; Ants of NE,king
1/1/1900,new hampshire,rockingham,canobie lake,NA,NA,NA,NA,Myrmicinae,Solenopsis,molesta,solmol,Wheeler ; Ants of NE,king
1/1/1900,new hampshire,carroll,w ossippee,NA,NA,NA,NA,Myrmicinae,Solenopsis,molesta,solmol,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Myrmicinae,Stenamma,brevicorne,stebre,Wheeler ; Ants of NE,king
1/1/1900,new hampshire,rockingham,canobie lake,NA,NA,NA,NA,Amblyoponinae,Stigmatomma,pallipes,stipal,Wheeler ; Ants of NE,king
1/1/1900,massachusetts,essex,essex cty,NA,NA,NA,NA,Dolichoderinae,Tapinoma,sessile,tapses,Wheeler ; Ants of NE,king
1/1/1900,rhode island,newport,newport,NA,NA,NA,NA,Dolichoderinae,Dolichoderus,plagiatus,dolpla,Wheeler ; Ants of NE,leidy
1/1/1900,massachusetts,middlesex,concord,NA,NA,NA,NA,Myrmicinae,Crematogaster,lineolata,crelin,Wheeler ; Ants of NE,mann
1/1/1900,massachusetts,middlesex,cambridge,NA,NA,NA,NA,Formicinae,Camponotus,castaneus,camcas,Wheeler ; Ants of NE,mcz
1/1/1900,massachusetts,middlesex,medford,NA,NA,NA,NA,Formicinae,Camponotus,chromaiodes,camchr,Wheeler ; Ants of NE,mcz
1/1/1900,massachusetts,middlesex,cambridge,NA,NA,NA,NA,Formicinae,Camponotus,novaeboracensis,camnov,Wheeler ; Ants of NE,mcz
1/1/1900,massachusetts,barnstable,eastport,NA,NA,NA,NA,Formicinae,Camponotus,novaeboracensis,camnov,Wheeler ; Ants of NE,mcz
1/1/1900,new hampshire,rockingham,exeter,NA,NA,NA,NA,Formicinae,Camponotus,novaeboracensis,camnov,Wheeler ; Ants of NE,mcz
1/1/1900,massachusetts,middlesex,malden,NA,NA,NA,NA,Formicinae,Camponotus,novaeboracensis,camnov,Wheeler ; Ants of NE,mcz
1/1/1900,massachusetts,middlesex,medford,NA,NA,NA,NA,Formicinae,Camponotus,novaeboracensis,camnov,Wheeler ; Ants of NE,mcz
1/1/1900,maine,cumberland,w beach,NA,NA,NA,NA,Formicinae,Camponotus,novaeboracensis,camnov,Wheeler ; Ants of NE,mcz
1/1/1900,massachusetts,franklin,warwick,NA,NA,NA,NA,Formicinae,Camponotus,novaeboracensis,camnov,Wheeler ; Ants of NE,mcz
1/1/1900,maine,oxford,bethel,NA,NA,NA,NA,Formicinae,Camponotus,pennsylvanicus,campen,Wheeler ; Ants of NE,mcz
1/1/1900,massachusetts,norfolk,brookline,NA,NA,NA,NA,Formicinae,Camponotus,pennsylvanicus,campen,Wheeler ; Ants of NE,mcz
1/1/1900,massachusetts,middlesex,cambridge,NA,NA,NA,NA,Formicinae,Camponotus,pennsylvanicus,campen,Wheeler ; Ants of NE,mcz
1/1/1900,new hampshire,rockingham,exeter,NA,NA,NA,NA,Formicinae,Camponotus,pennsylvanicus,campen,Wheeler ; Ants of NE,mcz
1/1/1900,massachusetts,essex,haverhill,NA,NA,NA,NA,Formicinae,Camponotus,pennsylvanicus,campen,Wheeler ; Ants of NE,mcz
1/1/1900,massachusetts,worcester,worcester,NA,NA,NA,NA,Formicinae,Camponotus,pennsylvanicus,campen,Wheeler ; Ants of NE,mcz
1/1/1900,massachusetts,middlesex,cambridge,NA,NA,NA,NA,Dolichoderinae,Dolichoderus,plagiatus,dolpla,Wheeler ; Ants of NE,mcz
1/1/1900,massachusetts,middlesex,waverley,NA,NA,NA,NA,Dolichoderinae,Dolichoderus,plagiatus,dolpla,Wheeler ; Ants of NE,mcz
1/1/1900,new hampshire,rockingham,hampton,NA,NA,NA,NA,Formicinae,Formica,integra,forint,Wheeler ; Ants of NE,mcz
1/1/1900,massachusetts,middlesex,medford,NA,NA,NA,NA,Formicinae,Formica,integra,forint,Wheeler ; Ants of NE,mcz
1/1/1900,massachusetts,middlesex,cambridge,NA,NA,NA,NA,Formicinae,Formica,obscuriventris,forobs,Wheeler ; Ants of NE,mcz
1/1/1900,massachusetts,middlesex,arlington,NA,NA,NA,NA,Formicinae,Formica,pallidefulva,forpal,Wheeler ; Ants of NE,mcz
1/1/1900,maine,oxford,bethel,NA,NA,NA,NA,Formicinae,Formica,subaenescens,forsub1,Wheeler ; Ants of NE,mcz
1/1/1900,massachusetts,middlesex,cambridge,NA,NA,NA,NA,Formicinae,Formica,subintegra,forsub2,Wheeler ; Ants of NE,mcz
1/1/1900,massachusetts,middlesex,arlington,NA,NA,NA,NA,Formicinae,Formica,subsericea,forsub3,Wheeler ; Ants of NE,mcz
1/1/1900,massachusetts,middlesex,cambridge,NA,NA,NA,NA,Formicinae,Formica,subsericea,forsub3,Wheeler ; Ants of NE,mcz
1/1/1900,massachusetts,middlesex,cambridge,NA,NA,NA,NA,Formicinae,Lasius,americanus,lasame,Wheeler ; Ants of NE,mcz
